PID,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45
1418604,4,4,7,4,4,5,4,6,4,6,6,7,3,1,3,4,3,3,2,3,5,5,5,4,5,4,3,4,1,4,3,2,5,3,7,6,5,5,6,6,7,4,4,5,6
1443039,3,3,3,3,3,2,2,4,3,2,2,5,5,5,5,5,3,1,4,4,4,4,4,4,7,6,6,5,5,5,2,3,3,3,3,4,4,4,3,5,4,5,4,4,4
1051543,4,3,5,5,3,4,2,4,4,4,4,6,6,5,5,6,5,4,5,4,5,6,6,5,3,3,3,1,4,5,4,2,4,4,7,3,3,3,3,5,5,3,3,5,3
1372277,3,2,6,7,4,2,4,2,1,3,4,7,5,5,7,5,6,4,4,4,3,2,4,3,2,4,3,4,4,4,1,1,1,3,4,6,5,4,2,5,6,3,5,7,6
1270316,4,4,5,5,4,4,4,4,4,4,3,5,5,5,5,5,5,5,4,4,5,4,5,5,3,3,3,2,2,2,4,3,4,3,4,6,6,1,6,6,7,6,7,6,6
1106089,3,3,3,4,4,3,4,3,4,3,4,5,5,3,5,5,2,4,5,4,6,4,6,5,4,4,5,5,3,4,7,4,6,1,2,5,4,5,3,6,5,4,6,6,5
1211243,4,3,3,7,5,4,5,3,4,4,5,4,5,3,5,4,3,2,3,3,3,6,7,6,1,1,2,4,4,5,4,5,4,4,5,5,5,4,4,6,6,4,6,5,6
377235,3,3,5,5,4,4,4,4,4,4,4,7,6,4,4,6,6,5,6,6,6,6,7,7,4,3,3,5,4,5,3,5,4,5,3,5,2,4,4,5,3,2,5,5,1
1111644,4,4,5,5,5,4,5,4,5,4,5,4,3,4,2,3,2,1,4,5,5,5,4,5,7,7,4,7,4,7,4,6,6,6,6,4,5,3,5,6,6,4,3,3,3
1339426,5,5,4,5,5,6,5,5,6,5,5,4,7,4,1,2,3,2,4,4,4,4,7,4,6,5,4,3,3,3,6,4,4,4,4,7,3,6,7,5,6,3,5,6,5
423256,2,2,7,5,3,2,5,2,2,5,5,4,6,4,6,6,3,3,5,4,5,4,5,6,1,2,7,5,4,5,4,4,6,3,5,6,2,6,4,1,5,7,3,7,3
256308,6,4,7,1,4,6,4,4,7,7,2,4,5,5,6,6,2,2,3,4,6,7,5,5,1,1,1,2,3,2,5,3,5,4,6,6,5,2,4,5,3,2,4,5,5
714147,4,3,4,4,4,4,3,3,4,5,4,2,2,1,1,3,3,3,4,3,3,4,5,3,5,5,5,5,4,5,5,5,5,4,5,5,6,7,6,7,4,4,6,6,7
320166,3,2,6,6,3,1,2,3,1,3,2,4,5,1,4,5,4,2,5,3,5,7,6,4,7,5,5,7,2,6,4,4,3,1,3,6,4,5,5,7,5,5,6,5,6
1145443,5,4,7,2,5,6,5,4,5,5,4,2,4,3,3,1,3,3,3,3,2,6,2,4,1,2,1,6,4,6,4,3,5,4,7,3,5,6,5,5,7,4,5,6,7
507457,4,4,5,6,4,4,2,2,5,3,4,3,2,4,3,1,4,3,2,3,4,6,3,4,5,5,4,6,4,5,5,6,5,4,7,6,6,7,5,6,4,4,7,5,5
477499,4,3,2,6,4,5,2,5,4,5,4,3,5,5,4,6,3,5,3,3,5,4,6,4,2,2,5,5,3,3,6,4,4,2,5,1,4,7,3,2,6,4,5,3,5
432606,3,3,3,7,5,5,5,3,5,5,3,2,5,2,4,1,2,1,3,2,3,6,3,5,7,7,7,2,5,5,6,6,6,5,5,6,4,4,6,4,4,4,4,5,6
46190,4,5,5,4,3,4,4,4,3,3,3,5,5,5,5,5,6,6,6,5,7,6,7,7,2,1,2,5,4,5,4,3,4,3,4,7,4,4,4,5,4,6,5,6,6
1356449,5,3,7,5,2,1,5,2,5,2,3,5,5,3,5,5,4,4,5,3,4,4,4,4,3,5,6,7,5,5,4,3,4,2,3,6,6,2,6,6,7,3,6,6,7
1434179,5,3,4,5,4,5,4,4,4,4,4,2,6,3,3,5,6,5,7,7,5,6,6,4,4,2,2,6,2,3,5,3,4,4,5,7,4,4,1,5,4,2,7,6,5
1390322,7,3,7,4,3,3,3,4,4,3,6,6,5,5,5,6,3,2,5,3,5,4,6,4,6,5,6,5,3,5,5,5,5,4,5,1,6,4,4,4,2,3,7,4,4
1325413,5,4,5,4,5,5,6,4,6,4,6,4,6,6,5,6,3,2,5,5,1,4,5,4,5,4,5,7,4,3,3,3,2,3,7,7,4,3,4,4,3,5,7,4,5
123607,5,3,5,2,1,5,5,5,5,3,2,4,4,4,4,4,4,4,5,6,5,6,6,5,3,3,3,6,6,6,5,4,6,5,7,4,7,4,3,4,7,4,4,4,7
1095593,6,5,5,3,5,4,6,5,5,5,6,1,3,4,5,5,4,3,4,5,3,6,7,7,4,5,2,4,4,4,4,6,7,4,4,3,3,6,5,4,7,2,6,4,5
672036,4,4,5,4,4,4,5,3,3,3,4,4,3,2,1,7,4,1,5,4,7,4,6,5,6,7,6,2,4,4,5,5,5,6,6,3,5,6,5,5,4,2,7,5,5
485582,4,5,4,3,5,4,3,3,3,3,5,4,4,2,4,4,6,3,3,2,4,5,1,4,6,3,7,4,6,4,3,5,3,3,3,2,4,5,2,6,2,5,2,5,2
277170,5,3,5,5,3,3,2,2,2,5,3,1,4,2,1,3,5,1,4,2,4,2,3,3,7,7,7,5,2,5,6,5,4,5,5,7,6,6,4,6,6,4,6,4,6
1138569,4,3,4,5,4,4,5,3,3,5,1,6,2,6,2,2,4,4,6,4,5,5,5,5,6,6,6,7,7,4,5,4,4,5,6,5,5,4,4,7,5,2,3,4,2
849526,3,4,4,4,5,4,4,5,5,5,4,6,6,6,6,5,6,5,2,1,5,2,3,3,4,4,4,5,5,4,5,4,4,4,5,6,7,3,7,4,6,5,3,7,7
158671,4,4,5,4,4,4,4,4,5,4,4,3,3,4,6,6,4,3,3,3,7,5,6,6,7,6,6,3,5,4,3,5,6,5,3,2,5,1,2,4,3,4,5,5,3
632422,5,5,5,5,5,4,5,4,5,4,5,7,4,4,4,4,7,7,4,6,4,6,4,5,7,2,2,5,5,5,6,6,6,6,6,3,3,3,3,3,3,3,3,1,3
196162,3,3,5,6,4,4,5,5,3,3,3,6,5,4,6,5,6,6,4,6,7,7,7,7,1,2,2,5,4,5,4,4,5,4,5,4,4,5,4,5,4,4,4,6,5
239334,5,2,5,7,5,5,5,6,6,5,6,1,1,1,4,1,5,3,4,5,5,4,4,6,7,6,6,4,4,4,4,5,5,5,6,4,2,3,2,4,2,2,7,7,3
1440555,4,4,4,5,3,4,4,4,4,4,4,3,2,6,2,1,3,3,4,3,3,5,5,4,6,5,6,5,4,6,7,6,5,5,6,5,5,5,6,5,4,4,7,3,5
391952,7,6,3,5,6,5,6,2,3,6,6,5,5,4,6,4,7,4,3,3,5,3,3,3,5,5,5,1,2,3,5,6,3,5,3,5,4,4,4,5,4,4,4,4,4
432365,4,4,4,6,3,5,3,4,4,3,4,6,6,2,6,6,7,4,4,4,4,7,2,4,6,1,6,3,7,7,5,5,5,5,5,5,4,2,3,5,5,2,5,5,5
1393920,4,2,3,4,5,6,4,3,6,5,6,5,4,5,4,7,3,2,5,3,4,4,5,6,3,6,6,3,4,3,3,4,4,4,1,4,3,4,2,5,2,2,3,3,3
1429085,4,5,2,3,4,4,4,2,4,4,1,3,3,7,7,3,5,5,6,6,6,5,7,5,5,5,5,4,5,6,5,3,5,4,5,4,6,4,4,4,4,4,7,6,6
